,date,white,latino,black
0,2000,0.479003672,1.038461538,2.7676951
1,2001,0.471020278,1.442307692,2.087114338
2,2002,0.550854223,1.653846154,2.881125227
3,2003,0.61472138,1.865384615,3.584392015
4,2004,0.690563628,2.057692308,3.153357532
5,2005,0.977965831,2.230769231,4.015426497
6,2006,1.089733355,2.673076923,4.786751361
7,2007,1.193517484,2.788461538,4.69600726
8,2008,1.117675236,2.846153846,5.149727768
9,2009,1.47692799,3.230769231,5.943738657
10,2010,1.78428868,3,6.66969147
11,2011,2.011815424,3.711538462,8.166969147
12,2012,2.239342168,4.096153846,9.460072595
13,2013,2.961839374,6.019230769,10.95735027
14,2014,3.041673319,5.846153846,10.32214156
15,2015,3.045665017,4.769230769,9.278584392
16,2016,3.073606898,4.134615385,9.414700544
17,2017,3.041673319,5.192307692,9.913793103
18,2018,2.901963915,5.096153846,9.43738657
19,2019,2.578636436,4.653846154,9.891107078
