CITY	OVERALL POLICING BUDGET	PERCENT OF CITY FUNDS SPENT ON POLICING	CITY $ PER RESIDENT FOR POLICE	POLICE DEPARTMENT EMPLOYEE TO RESIDENT RATIO	
1	"Albuquerque, NM"	"$211,084,000.00"	32%	$367.00	0.279861111
2	"Anchorage, AK"	"$133,766,426.00"	27%	$445.00	0.372916667
3	"Arlington, TX"	"$117,847,632.00"	44%	$296.00	0.355555556
4	"Atlanta, GA"	"$248,508,775.00"	30%	$412.00	0.186805556
5	"Austin, TX"	"$491,265,529.00"	40%	$451.00	0.289583333
6	"Baltimore, MD"	"$549,046,349.00"	26%	$840.00	0.170138889
7	"Billings, MT"	"$27,017,423.00"	64%	$247.00	0.459027778
8	"Birmingham, AL"	"$92,775,797.00"	21%	$443.00	0.175
9	"Boise, ID"	"$70,561,456.00"	29%	$306.00	0.432638889
10	"Boston, MA"	"$431,731,291.00"	16%	$595.00	0.200694444
11	"Bridgeport, CT"	"$102,312,652.00"	18%	$706.00	0.557638889
12	"Burlington, VT"	"$17,926,954.00"	19%	$349.00	0.252083333
13	"Charleston, SC"	"$53,445,152.00"	22%	$379.00	0.219444444
14	"Charleston, WV"	"$22,489,588.00"	25%	$482.00	0.205555556
15	"Charlotte, NC"	"$285,877,585.00"	39%	$327.00	0.284027778
16	"Cheyenne, WY"	"$14,493,787.00"	26%	$342.00	0.275694444
17	"Chicago, IL"	"$1,776,930,437.00"	37%	$611.00	0.16875
18	"Colorado Springs, CO"	"$140,388,709.00"	34%	$239.00	0.343055556
19	"Columbus, OH"	"$347,780,657.00"	37%	$398.00	0.193055556
20	"Dallas, TX"	"$545,974,490.00"	36%	$379.00	0.281944444
21	"Denver, CO"	"$277,927,093.00"	17%	$355.00	0.192361111
22	"Des Moines, IA"	"$71,546,587.00"	39%	$323.00	0.357638889
23	"Detroit, MI"	"$318,193,356.00"	29%	$460.00	0.181944444
24	"El Paso, TX"	"$157,607,718.00"	32%	$215.00	0.354861111
25	"Fargo, ND"	"$22,832,341.00"	22%	$184.00	0.456944444
26	"Fort Worth, TX"	"$352,893,268.00"	35%	$297.00	0.182638889
27	"Fresno, CA"	"$201,764,000.00"	40%	$367.00	0.368055556
28	"Honolulu, HI"	"$301,701,305.00"	17%	$282.00	0.286111111
29	"Houston, TX"	"$899,879,053.00"	36%	$387.00	0.291666667
30	"Indianapolis, IN"	"$283,571,003.00"	35%	$279.00	0.334027778
31	"Jackson, MS"	"$37,523,140.00"	28%	$216.00	0.209722222
32	"Jacksonville, FL"	"$481,594,597.00"	35%	$533.00	0.393055556
33	"Kansas City, MO"	"$262,247,405.00"	43%	$510.00	0.211805556
34	"Las Vegas, NV"	"$173,702,925.00"	13%	$269.00	0.233333333
35	"Little Rock, AR"	"$80,209,890.00"	38%	$405.00	0.226388889
36	"Long Beach, CA"	"$265,466,991.00"	43%	$522.00	0.300694444
37	"Los Angeles, CA"	"$1,735,493,169.00"	33%	$420.00	0.255555556
38	"Louisville, KY"	"$191,988,200.00"	29%	$297.00	0.309722222
39	"Manchester, NH"	"$25,285,675.00"	16%	$225.00	0.5625
40	"Memphis, TN"	"$274,511,008.00"	38%	$419.00	0.199305556
41	"Mesa, AZ"	"$198,152,493.00"	11%	$389.00	0.323611111
42	"Miami, FL"	"$281,251,000.00"	33%	$564.00	0.222222222
43	"Milwaukee, WI"	"$321,470,403.00"	58%	$502.00	0.186805556
44	"Minneapolis, MN"	"$193,360,000.00"	35%	$444.00	0.311111111
45	"Nashville, TN"	"$216,790,900.00"	21%	$311.00	0.278472222
46	"New Orleans, LA"	"$206,887,632.00"	24%	$449.00	0.15
47	"New York, NY"	"$11,036,298,140.00"	8%	$626.00	0.154166667
48	"Newark, NJ"	"$207,955,896.00"	29%	$737.00	0.278472222
49	"Oklahoma City, OK"	"$226,626,456.00"	29%	$238.00	0.334027778
50	"Omaha, NE"	"$159,838,743.00"	38%	$340.00	0.35
51	"Philadelphia, PA"	"$956,632,151.00"	15%	$468.00	0.1875
52	"Phoenix, AZ"	"$909,129,491.00"	41%	$341.00	0.305555556
53	"Portland, ME"	"$17,757,540.00"	9%	$267.00	0.250694444
54	"Portland, OR"	"$238,190,326.00"	31%	$352.00	0.389583333
55	"Providence, RI"	"$85,644,030.00"	11%	$478.00	0.236805556
56	"Raleigh, NC"	"$109,694,902.00"	21%	$233.00	0.404166667
57	"Sacramento, CA"	"$184,342,524.00"	26%	$295.00	0.371527778
58	"Salt Lake City, UT"	"$82,235,729.00"	25%	$410.00	0.2375
59	"San Antonio, TX"	"$479,091,284.00"	37%	$313.00	0.386111111
60	"San Diego, CA"	"$542,087,473.00"	34%	$378.00	0.414583333
61	"San Francisco, CA"	"$706,182,301.00"	9%	$604.00	0.232638889
62	"San Jose, CA"	"$473,208,901.00"	30%	$434.00	0.464583333
63	"Seattle, WA"	"$440,240,547.00"	12%	$546.00	0.277777778
64	"Sioux Falls, SD"	"$41,028,140.00"	23%	$221.00	0.447222222
65	"St. Louis, MO"	"$154,870,227.00"	27%	$454.00	0.159027778
66	"Tampa, FL"	"$176,982,462.00"	41%	$450.00	0.261111111
67	"Tucson, AZ"	"$193,274,430.00"	28%	$301.00	0.371527778
68	"Tulsa, OK"	"$121,682,000.00"	35%	$255.00	0.288194444
69	"Virginia Beach, VA"	"$102,960,533.00"	9%	$229.00	0.336805556
70	"Washington, DC"	"$655,379,632.00"	5%	$744.00	0.14375
71	"Wichita, KS"	"$89,245,584.00"	35%	$229.00	0.3625
72	"Wilmington, DE"	"$59,770,276.00"	34%	$825.00	0.170833333
