CITY,OVERALL POLICING BUDGET,PERCENT OF CITY FUNDS SPENT ON POLICING,CITY $ PER RESIDENT FOR POLICE,POLICE DEPARTMENT EMPLOYEE TO RESIDENT RATIO
"Albuquerque, NM","$211,084,000.00",32%,$367.00,0.279861111
"Anchorage, AK","$133,766,426.00",27%,$445.00,0.372916667
"Arlington, TX","$117,847,632.00",44%,$296.00,0.355555556
"Atlanta, GA","$248,508,775.00",30%,$412.00,0.186805556
"Austin, TX","$491,265,529.00",40%,$451.00,0.289583333
"Baltimore, MD","$549,046,349.00",26%,$840.00,0.170138889
"Billings, MT","$27,017,423.00",64%,$247.00,0.459027778
"Birmingham, AL","$92,775,797.00",21%,$443.00,0.175
"Boise, ID","$70,561,456.00",29%,$306.00,0.432638889
"Boston, MA","$431,731,291.00",16%,$595.00,0.200694444
"Bridgeport, CT","$102,312,652.00",18%,$706.00,0.557638889
"Burlington, VT","$17,926,954.00",19%,$349.00,0.252083333
"Charleston, SC","$53,445,152.00",22%,$379.00,0.219444444
"Charleston, WV","$22,489,588.00",25%,$482.00,0.205555556
"Charlotte, NC","$285,877,585.00",39%,$327.00,0.284027778
"Cheyenne, WY","$14,493,787.00",26%,$342.00,0.275694444
"Chicago, IL","$1,776,930,437.00",37%,$611.00,0.16875
"Colorado Springs, CO","$140,388,709.00",34%,$239.00,0.343055556
"Columbus, OH","$347,780,657.00",37%,$398.00,0.193055556
"Dallas, TX","$545,974,490.00",36%,$379.00,0.281944444
"Denver, CO","$277,927,093.00",17%,$355.00,0.192361111
"Des Moines, IA","$71,546,587.00",39%,$323.00,0.357638889
"Detroit, MI","$318,193,356.00",29%,$460.00,0.181944444
"El Paso, TX","$157,607,718.00",32%,$215.00,0.354861111
"Fargo, ND","$22,832,341.00",22%,$184.00,0.456944444
"Fort Worth, TX","$352,893,268.00",35%,$297.00,0.182638889
"Fresno, CA","$201,764,000.00",40%,$367.00,0.368055556
"Honolulu, HI","$301,701,305.00",17%,$282.00,0.286111111
"Houston, TX","$899,879,053.00",36%,$387.00,0.291666667
"Indianapolis, IN","$283,571,003.00",35%,$279.00,0.334027778
"Jackson, MS","$37,523,140.00",28%,$216.00,0.209722222
"Jacksonville, FL","$481,594,597.00",35%,$533.00,0.393055556
"Kansas City, MO","$262,247,405.00",43%,$510.00,0.211805556
"Las Vegas, NV","$173,702,925.00",13%,$269.00,0.233333333
"Little Rock, AR","$80,209,890.00",38%,$405.00,0.226388889
"Long Beach, CA","$265,466,991.00",43%,$522.00,0.300694444
"Los Angeles, CA","$1,735,493,169.00",33%,$420.00,0.255555556
"Louisville, KY","$191,988,200.00",29%,$297.00,0.309722222
"Manchester, NH","$25,285,675.00",16%,$225.00,0.5625
"Memphis, TN","$274,511,008.00",38%,$419.00,0.199305556
"Mesa, AZ","$198,152,493.00",11%,$389.00,0.323611111
"Miami, FL","$281,251,000.00",33%,$564.00,0.222222222
"Milwaukee, WI","$321,470,403.00",58%,$502.00,0.186805556
"Minneapolis, MN","$193,360,000.00",35%,$444.00,0.311111111
"Nashville, TN","$216,790,900.00",21%,$311.00,0.278472222
"New Orleans, LA","$206,887,632.00",24%,$449.00,0.15
"New York, NY","$11,036,298,140.00",8%,$626.00,0.154166667
"Newark, NJ","$207,955,896.00",29%,$737.00,0.278472222
"Oklahoma City, OK","$226,626,456.00",29%,$238.00,0.334027778
"Omaha, NE","$159,838,743.00",38%,$340.00,0.35
"Philadelphia, PA","$956,632,151.00",15%,$468.00,0.1875
"Phoenix, AZ","$909,129,491.00",41%,$341.00,0.305555556
"Portland, ME","$17,757,540.00",9%,$267.00,0.250694444
"Portland, OR","$238,190,326.00",31%,$352.00,0.389583333
"Providence, RI","$85,644,030.00",11%,$478.00,0.236805556
"Raleigh, NC","$109,694,902.00",21%,$233.00,0.404166667
"Sacramento, CA","$184,342,524.00",26%,$295.00,0.371527778
"Salt Lake City, UT","$82,235,729.00",25%,$410.00,0.2375
"San Antonio, TX","$479,091,284.00",37%,$313.00,0.386111111
"San Diego, CA","$542,087,473.00",34%,$378.00,0.414583333
"San Francisco, CA","$706,182,301.00",9%,$604.00,0.232638889
"San Jose, CA","$473,208,901.00",30%,$434.00,0.464583333
"Seattle, WA","$440,240,547.00",12%,$546.00,0.277777778
"Sioux Falls, SD","$41,028,140.00",23%,$221.00,0.447222222
"St. Louis, MO","$154,870,227.00",27%,$454.00,0.159027778
"Tampa, FL","$176,982,462.00",41%,$450.00,0.261111111
"Tucson, AZ","$193,274,430.00",28%,$301.00,0.371527778
"Tulsa, OK","$121,682,000.00",35%,$255.00,0.288194444
"Virginia Beach, VA","$102,960,533.00",9%,$229.00,0.336805556
"Washington, DC","$655,379,632.00",5%,$744.00,0.14375
"Wichita, KS","$89,245,584.00",35%,$229.00,0.3625
"Wilmington, DE","$59,770,276.00",34%,$825.00,0.170833333
